model,press_name,pretty_name,query_aware,configured_ratio,achieved_ratio,score_macro13,niah_single_1,niah_single_2,niah_single_3,niah_multikey_1,niah_multikey_2,niah_multikey_3,niah_multiquery,niah_multivalue,vt,cwe,fwe,qa_1,qa_2,press_init_command
Qwen/Qwen3-8B,finch,Finch,True,0.875,0.875,61.68,100.0,100.0,0.6,99.8,25.8,4.4,99.55,44.0,86.64,25.72,84.87,75.2,55.2,"FinchPress(compression_ratio=0.875, chunk_length=None, normalize_scores=True, rerotate_keys=True, delimiter_token=None, delimiter_token_id=None, window_size=None)"
Qwen/Qwen3-8B,keydiff,KeyDiff,False,0.25,0.25,89.4,100.0,100.0,99.8,97.0,89.8,67.8,99.8,99.95,100.0,97.06,91.33,73.6,46.0,KeyDiffPress(compression_ratio=0.25)
Qwen/Qwen3-8B,keydiff,KeyDiff,False,0.5,0.5,78.57,100.0,99.8,99.0,94.8,55.0,18.6,99.25,99.85,100.0,90.7,85.07,51.6,27.8,KeyDiffPress(compression_ratio=0.5)
Qwen/Qwen3-8B,keydiff,KeyDiff,False,0.75,0.75,64.44,100.0,92.8,92.8,79.0,13.0,2.0,92.65,94.2,98.88,66.24,68.4,24.4,13.4,KeyDiffPress(compression_ratio=0.75)
Qwen/Qwen3-8B,keydiff,KeyDiff,False,0.875,0.875,45.51,100.0,65.0,79.4,61.2,2.2,0.0,74.6,67.65,54.84,18.08,44.8,13.2,10.6,KeyDiffPress(compression_ratio=0.875)
Qwen/Qwen3-8B,knorm,Knorm,False,0.25,0.25,87.21,100.0,100.0,97.2,99.8,92.0,61.8,99.7,99.6,92.96,96.68,89.4,58.4,46.2,KnormPress(compression_ratio=0.25)
Qwen/Qwen3-8B,knorm,Knorm,False,0.5,0.5,68.31,100.0,99.4,87.0,92.0,39.2,8.4,92.8,92.1,53.08,89.24,80.87,29.4,24.6,KnormPress(compression_ratio=0.5)
Qwen/Qwen3-8B,knorm,Knorm,False,0.75,0.75,32.63,75.0,79.2,17.6,38.4,3.2,1.2,37.85,48.9,7.16,38.06,54.87,11.8,11.0,KnormPress(compression_ratio=0.75)
Qwen/Qwen3-8B,knorm,Knorm,False,0.875,0.875,8.9,19.6,32.8,0.0,8.0,0.2,0.0,5.75,7.0,0.0,5.94,18.6,8.6,9.2,KnormPress(compression_ratio=0.875)
Qwen/Qwen3-8B,kvzip,KVzip,False,0.25,0.25,95.29,100.0,100.0,100.0,100.0,100.0,100.0,99.95,100.0,100.0,98.94,95.33,81.2,63.4,"KVzipPress(compression_ratio=0.25, layerwise=False, n_sink=4, kvzip_plus_normalization=False)"
Qwen/Qwen3-8B,kvzip,KVzip,False,0.5,0.5,95.18,100.0,100.0,100.0,100.0,100.0,100.0,99.95,99.95,100.0,99.06,95.6,80.0,62.8,"KVzipPress(compression_ratio=0.5, layerwise=False, n_sink=4, kvzip_plus_normalization=False)"
Qwen/Qwen3-8B,kvzip,KVzip,False,0.75,0.75,95.02,100.0,100.0,100.0,99.6,100.0,99.8,100.0,99.9,100.0,98.92,96.2,80.4,60.4,"KVzipPress(compression_ratio=0.75, layerwise=False, n_sink=4, kvzip_plus_normalization=False)"
Qwen/Qwen3-8B,kvzip,KVzip,False,0.875,0.875,92.24,100.0,99.2,99.4,94.0,99.4,97.0,99.4,91.85,100.0,91.34,91.33,78.0,58.2,"KVzipPress(compression_ratio=0.875, layerwise=False, n_sink=4, kvzip_plus_normalization=False)"
Qwen/Qwen3-8B,lagkv,LagKV,False,0.25,0.25,89.36,100.0,100.0,99.6,99.2,98.4,33.6,100.0,99.95,100.0,99.1,93.47,77.6,60.8,"LagKVPress(compression_ratio=0.25, n_sink=4, lag_size=128, cross_scoring=False)"
Qwen/Qwen3-8B,lagkv,LagKV,False,0.5,0.5,82.51,100.0,100.0,91.2,95.6,72.6,2.2,99.0,99.0,100.0,98.72,89.07,72.8,52.4,"LagKVPress(compression_ratio=0.5, n_sink=4, lag_size=128, cross_scoring=False)"
Qwen/Qwen3-8B,lagkv,LagKV,False,0.75,0.75,65.49,100.0,98.6,15.4,80.2,7.4,0.8,86.85,88.0,100.0,90.14,78.33,65.0,40.6,"LagKVPress(compression_ratio=0.75, n_sink=4, lag_size=128, cross_scoring=False)"
Qwen/Qwen3-8B,lagkv,LagKV,False,0.875,0.875,46.52,96.6,84.0,7.8,31.8,4.2,1.0,37.65,41.1,85.76,55.92,63.47,62.8,32.6,"LagKVPress(compression_ratio=0.875, n_sink=4, lag_size=128, cross_scoring=False)"
Qwen/Qwen3-8B,no_press,NoCompression,False,0.0,0.0,95.32,100.0,100.0,100.0,100.0,100.0,100.0,99.9,100.0,100.0,98.94,95.27,81.6,63.4,
Qwen/Qwen3-8B,observed_attention,ObservedAttention(H2O),False,0.25,0.25,70.53,54.2,34.8,16.8,79.0,92.4,38.6,82.7,83.6,99.52,98.78,95.33,80.6,60.6,ObservedAttentionPress(compression_ratio=0.25)
Qwen/Qwen3-8B,observed_attention,ObservedAttention(H2O),False,0.5,0.5,51.43,20.2,13.4,10.0,50.6,36.2,10.6,49.8,51.7,96.4,98.68,95.27,79.2,56.6,ObservedAttentionPress(compression_ratio=0.5)
Qwen/Qwen3-8B,observed_attention,ObservedAttention(H2O),False,0.75,0.75,32.06,9.0,6.0,3.8,12.4,10.6,2.2,10.5,6.45,41.52,97.42,94.93,73.6,48.4,ObservedAttentionPress(compression_ratio=0.75)
Qwen/Qwen3-8B,observed_attention,ObservedAttention(H2O),False,0.875,0.875,24.83,4.0,2.6,2.4,4.6,4.4,0.6,4.75,3.5,9.72,89.3,91.93,66.0,39.0,ObservedAttentionPress(compression_ratio=0.875)
Qwen/Qwen3-8B,pyramidkv,PyramidKV,False,0.25,0.25,75.77,84.8,97.4,44.8,68.6,68.2,51.0,76.85,75.7,91.64,98.8,95.4,75.0,56.8,"PyramidKVPress(compression_ratio=0.25, window_size=64, kernel_size=5, beta=20)"
Qwen/Qwen3-8B,pyramidkv,PyramidKV,False,0.5,0.5,40.67,68.4,22.8,4.2,18.0,30.0,11.2,20.1,17.85,62.6,81.86,90.53,59.2,42.0,"PyramidKVPress(compression_ratio=0.5, window_size=64, kernel_size=5, beta=20)"
Qwen/Qwen3-8B,pyramidkv,PyramidKV,False,0.75,0.75,30.0,39.2,14.8,5.2,19.4,9.4,1.6,16.7,12.65,33.12,53.72,88.27,54.2,41.8,"PyramidKVPress(compression_ratio=0.75, window_size=64, kernel_size=5, beta=20)"
Qwen/Qwen3-8B,pyramidkv,PyramidKV,False,0.875,0.875,21.97,10.2,8.6,2.4,13.8,3.8,0.4,11.9,10.25,10.4,62.4,80.47,41.8,29.2,"PyramidKVPress(compression_ratio=0.875, window_size=64, kernel_size=5, beta=20)"
Qwen/Qwen3-8B,random,Random,False,0.25,0.25,89.94,96.6,92.8,85.2,95.6,96.6,83.0,97.1,96.15,99.08,97.86,94.07,76.0,59.2,"RandomPress(compression_ratio=0.25, seed=None)"
Qwen/Qwen3-8B,random,Random,False,0.5,0.5,50.83,47.0,44.4,7.0,52.0,47.0,1.4,50.1,48.95,76.0,93.6,91.8,54.6,47.0,"RandomPress(compression_ratio=0.5, seed=None)"
Qwen/Qwen3-8B,random,Random,False,0.75,0.75,12.43,0.2,0.6,0.0,0.6,0.6,0.0,0.65,0.6,4.2,39.82,74.27,20.6,19.4,"RandomPress(compression_ratio=0.75, seed=None)"
Qwen/Qwen3-8B,random,Random,False,0.875,0.875,4.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,3.04,32.13,9.0,10.8,"RandomPress(compression_ratio=0.875, seed=None)"
Qwen/Qwen3-8B,snapkv,SnapKV,False,0.25,0.25,84.05,88.2,99.8,84.2,84.6,75.2,58.4,88.4,89.05,94.2,98.96,95.4,78.0,58.2,"SnapKVPress(compression_ratio=0.25, window_size=64, kernel_size=5)"
Qwen/Qwen3-8B,snapkv,SnapKV,True,0.25,0.25,94.59,100.0,100.0,96.0,100.0,96.4,100.0,100.0,99.65,99.4,99.0,95.27,81.0,63.0,"SnapKVPress(compression_ratio=0.25, window_size=64, kernel_size=5)"
Qwen/Qwen3-8B,snapkv,SnapKV,False,0.5,0.5,55.71,74.6,70.6,14.4,39.6,30.6,20.0,40.9,39.65,81.16,98.54,93.8,69.0,51.4,"SnapKVPress(compression_ratio=0.5, window_size=64, kernel_size=5)"
Qwen/Qwen3-8B,snapkv,SnapKV,True,0.5,0.5,87.64,100.0,100.0,40.4,100.0,81.0,98.4,100.0,86.9,96.84,98.54,93.4,80.6,63.2,"SnapKVPress(compression_ratio=0.5, window_size=64, kernel_size=5)"
Qwen/Qwen3-8B,snapkv,SnapKV,False,0.75,0.75,33.06,39.2,14.8,5.2,19.2,9.8,1.6,16.85,12.65,33.2,92.6,88.27,54.6,41.8,"SnapKVPress(compression_ratio=0.75, window_size=64, kernel_size=5)"
Qwen/Qwen3-8B,snapkv,SnapKV,True,0.75,0.75,74.32,98.8,100.0,5.2,98.8,48.8,60.0,99.95,49.4,84.76,92.78,85.73,80.0,62.0,"SnapKVPress(compression_ratio=0.75, window_size=64, kernel_size=5)"
Qwen/Qwen3-8B,snapkv,SnapKV,False,0.875,0.875,22.02,10.2,8.6,2.4,13.8,3.8,0.4,11.95,10.2,10.44,62.28,80.6,41.8,29.8,"SnapKVPress(compression_ratio=0.875, window_size=64, kernel_size=5)"
Qwen/Qwen3-8B,snapkv,SnapKV,True,0.875,0.875,55.51,71.8,98.4,2.4,79.6,20.4,8.0,92.6,26.5,50.04,61.22,75.67,77.2,57.8,"SnapKVPress(compression_ratio=0.875, window_size=64, kernel_size=5)"
Qwen/Qwen3-8B,streaming_llm,StreamingLLM,False,0.25,0.25,78.58,74.8,75.2,75.0,77.6,77.8,72.6,76.1,75.55,86.4,98.78,97.53,80.8,53.4,"StreamingLLMPress(compression_ratio=0.25, n_sink=4)"
Qwen/Qwen3-8B,streaming_llm,StreamingLLM,False,0.5,0.5,61.13,49.4,50.0,55.4,55.4,49.6,48.6,53.35,52.9,56.48,95.78,94.53,83.4,49.8,"StreamingLLMPress(compression_ratio=0.5, n_sink=4)"
Qwen/Qwen3-8B,streaming_llm,StreamingLLM,False,0.75,0.75,42.44,25.2,27.6,29.0,31.8,24.2,22.4,29.3,27.7,27.96,85.12,95.87,85.2,40.4,"StreamingLLMPress(compression_ratio=0.75, n_sink=4)"
Qwen/Qwen3-8B,streaming_llm,StreamingLLM,False,0.875,0.875,26.99,13.2,18.0,15.8,19.6,12.0,9.2,16.75,16.7,17.88,18.4,81.2,80.2,32.0,"StreamingLLMPress(compression_ratio=0.875, n_sink=4)"
Qwen/Qwen3-8B,tova,TOVA,False,0.25,0.25,82.49,100.0,100.0,100.0,100.0,30.4,12.2,99.9,100.0,100.0,96.42,93.0,80.4,60.0,TOVAPress(compression_ratio=0.25)
Qwen/Qwen3-8B,tova,TOVA,False,0.5,0.5,77.61,100.0,100.0,97.8,100.0,6.6,0.4,100.0,99.9,100.0,84.2,89.8,75.6,54.6,TOVAPress(compression_ratio=0.5)
Qwen/Qwen3-8B,tova,TOVA,False,0.75,0.75,62.38,80.8,100.0,15.2,94.8,1.4,0.0,96.7,96.9,96.32,51.78,81.07,55.8,40.2,TOVAPress(compression_ratio=0.75)
Qwen/Qwen3-8B,tova,TOVA,False,0.875,0.875,33.32,27.4,94.4,0.4,41.2,0.4,0.0,40.15,43.4,34.16,22.88,63.33,37.4,28.0,TOVAPress(compression_ratio=0.875)
meta-llama/Llama-3.1-8B-Instruct,adakv_compactor,AdaKVCompactor,False,0.25,0.25,95.69,100.0,100.0,100.0,99.8,100.0,99.6,99.95,99.9,99.88,99.2,95.2,87.4,63.0,"AdaKVPress(press=CompactorPress(compression_ratio=0.25, sink_size_start=8, sink_size_end=4, chunk_size=256, sketch_dimension=48, blending=None, _leverage_press=LeverageScorePress(compression_ratio=0.25, sketch_dimension=48), _non_causal_press=NonCausalAttnPress(compression_ratio=0.25, chunk_size=256)), alpha_safeguard=0.2)"
meta-llama/Llama-3.1-8B-Instruct,adakv_compactor,AdaKVCompactor,False,0.5,0.5,94.75,100.0,100.0,100.0,99.8,99.6,98.4,99.9,99.1,99.88,96.5,94.6,84.2,59.8,"AdaKVPress(press=CompactorPress(compression_ratio=0.5, sink_size_start=8, sink_size_end=4, chunk_size=256, sketch_dimension=48, blending=None, _leverage_press=LeverageScorePress(compression_ratio=0.5, sketch_dimension=48), _non_causal_press=NonCausalAttnPress(compression_ratio=0.5, chunk_size=256)), alpha_safeguard=0.2)"
meta-llama/Llama-3.1-8B-Instruct,adakv_compactor,AdaKVCompactor,False,0.75,0.75,83.06,100.0,99.8,100.0,99.2,93.8,3.8,99.2,97.15,99.84,74.68,89.33,69.8,53.2,"AdaKVPress(press=CompactorPress(compression_ratio=0.75, sink_size_start=8, sink_size_end=4, chunk_size=256, sketch_dimension=48, blending=None, _leverage_press=LeverageScorePress(compression_ratio=0.75, sketch_dimension=48), _non_causal_press=NonCausalAttnPress(compression_ratio=0.75, chunk_size=256)), alpha_safeguard=0.2)"
meta-llama/Llama-3.1-8B-Instruct,adakv_compactor,AdaKVCompactor,False,0.875,0.875,68.52,100.0,99.4,98.6,94.8,17.8,0.2,95.2,88.15,99.32,33.06,75.47,48.8,40.0,"AdaKVPress(press=CompactorPress(compression_ratio=0.875, sink_size_start=8, sink_size_end=4, chunk_size=256, sketch_dimension=48, blending=None, _leverage_press=LeverageScorePress(compression_ratio=0.875, sketch_dimension=48), _non_causal_press=NonCausalAttnPress(compression_ratio=0.875, chunk_size=256)), alpha_safeguard=0.2)"
meta-llama/Llama-3.1-8B-Instruct,adakv_snapkv,AdaSnapKV,True,0.25,0.25,95.4,100.0,100.0,96.8,99.8,100.0,99.6,99.9,99.9,99.92,99.48,94.6,87.8,62.4,"AdaKVPress(press=SnapKVPress(compression_ratio=0.25, window_size=64, kernel_size=5), alpha_safeguard=0.2)"
meta-llama/Llama-3.1-8B-Instruct,adakv_snapkv,AdaSnapKV,True,0.5,0.5,91.17,100.0,100.0,47.6,99.8,100.0,96.4,99.9,99.4,99.36,99.16,93.53,88.0,62.0,"AdaKVPress(press=SnapKVPress(compression_ratio=0.5, window_size=64, kernel_size=5), alpha_safeguard=0.2)"
meta-llama/Llama-3.1-8B-Instruct,adakv_snapkv,AdaSnapKV,True,0.75,0.75,82.62,100.0,100.0,5.8,100.0,98.4,47.0,99.65,96.95,94.84,94.84,87.2,87.8,61.6,"AdaKVPress(press=SnapKVPress(compression_ratio=0.75, window_size=64, kernel_size=5), alpha_safeguard=0.2)"
meta-llama/Llama-3.1-8B-Instruct,adakv_snapkv,AdaSnapKV,True,0.875,0.875,71.32,100.0,99.8,2.4,99.0,90.2,4.2,97.0,74.8,72.04,68.78,74.53,84.2,60.2,"AdaKVPress(press=SnapKVPress(compression_ratio=0.875, window_size=64, kernel_size=5), alpha_safeguard=0.2)"
meta-llama/Llama-3.1-8B-Instruct,chunkkv,ChunkKV,True,0.25,0.25,95.5,100.0,100.0,100.0,99.8,100.0,99.4,99.75,99.55,99.92,99.52,93.53,87.8,62.2,"ChunkKVPress(press=SnapKVPress(compression_ratio=0.25, window_size=64, kernel_size=5), chunk_length=20)"
meta-llama/Llama-3.1-8B-Instruct,chunkkv,ChunkKV,True,0.5,0.5,94.76,100.0,100.0,99.6,99.8,100.0,95.4,99.45,98.2,99.88,97.38,91.73,88.2,62.2,"ChunkKVPress(press=SnapKVPress(compression_ratio=0.5, window_size=64, kernel_size=5), chunk_length=20)"
meta-llama/Llama-3.1-8B-Instruct,chunkkv,ChunkKV,True,0.75,0.75,90.69,100.0,99.4,98.0,100.0,98.8,72.8,97.7,94.0,97.76,82.74,89.4,87.2,61.2,"ChunkKVPress(press=SnapKVPress(compression_ratio=0.75, window_size=64, kernel_size=5), chunk_length=20)"
meta-llama/Llama-3.1-8B-Instruct,chunkkv,ChunkKV,True,0.875,0.875,72.39,100.0,97.4,65.6,86.8,87.6,23.6,79.0,57.65,68.32,47.72,84.73,83.2,59.4,"ChunkKVPress(press=SnapKVPress(compression_ratio=0.875, window_size=64, kernel_size=5), chunk_length=20)"
meta-llama/Llama-3.1-8B-Instruct,cur,CUR,False,0.25,0.25,93.85,99.4,99.8,83.0,99.8,100.0,99.0,99.6,99.65,99.04,99.54,94.0,85.8,61.4,"CURPress(compression_ratio=0.25, num_sinks=4, leverage_type='kv_product', use_random_leverage=False, use_local_approximation=True, local_window_size=16)"
meta-llama/Llama-3.1-8B-Instruct,cur,CUR,False,0.5,0.5,79.41,96.0,98.8,18.4,99.0,95.8,32.6,98.75,96.7,76.8,85.72,92.73,80.8,60.2,"CURPress(compression_ratio=0.5, num_sinks=4, leverage_type='kv_product', use_random_leverage=False, use_local_approximation=True, local_window_size=16)"
meta-llama/Llama-3.1-8B-Instruct,cur,CUR,False,0.75,0.75,45.57,50.6,56.4,0.2,83.4,51.0,0.2,87.3,72.6,8.0,16.84,57.27,61.0,47.6,"CURPress(compression_ratio=0.75, num_sinks=4, leverage_type='kv_product', use_random_leverage=False, use_local_approximation=True, local_window_size=16)"
meta-llama/Llama-3.1-8B-Instruct,cur,CUR,False,0.875,0.875,19.76,26.2,11.8,0.0,40.2,9.6,0.0,39.65,32.55,0.8,1.54,19.2,38.2,37.2,"CURPress(compression_ratio=0.875, num_sinks=4, leverage_type='kv_product', use_random_leverage=False, use_local_approximation=True, local_window_size=16)"
meta-llama/Llama-3.1-8B-Instruct,duo_attention,DuoAttention,False,0.25,0.2226,95.67,100.0,100.0,99.8,99.8,100.0,99.8,99.85,99.9,99.88,99.68,95.2,87.6,62.2,"DuoAttentionPress(head_compression_ratio=0.25, on_the_fly_scoring=False, compression_ratio_=None, recent_size=None, sink_size=None, streaming_mask=None)"
